Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_F1_Mean,CV_F1_Std
Logistic Regression,0.9833333333333333,0.9847222222222222,0.9833333333333333,0.983609741520992,0.9981447124304267,0.973755245356821,0.017530631066807502
XGBoost,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9981447124304268,0.9714379500507263,0.019769763701616653
Random Forest,0.9666666666666667,0.968576388888889,0.9666666666666667,0.967219483041984,0.9976808905380333,0.9528627891885545,0.014971704434728245
SVM,0.9583333333333334,0.9660493827160493,0.9583333333333334,0.9599138084553193,0.9962894248608534,0.9467639233526025,0.0167951499397869
Decision Tree,0.95,0.9560556464811785,0.95,0.9515625,0.945269016697588,0.9362728072152287,0.007888663576053593
